transaction_id,customer_id,transaction_date,amount
1,CUST_008,2023-07-01,100.50
2,CUST_006,2023-07-02,50.75
3,CUST_004,2023-07-05,200.00
4,CUST_001,2023-07-09,75.20
5,CUST_002,2023-07-12,30.00
6,CUST_009,2023-07-16,120.10
7,CUST_005,2023-07-18,90.25
8,CUST_011,2023-07-20,500.00
9,CUST_007,2023-07-22,45.75
10,CUST_010,2023-07-25,300.50
11,CUST_001,2023-07-27,180.75
12,CUST_008,2023-07-28,50.00
13,CUST_006,2023-07-29,75.30
14,CUST_002,2023-08-01,120.25
15,CUST_009,2023-08-02,95.00
16,CUST_004,2023-08-05,200.50
17,CUST_005,2023-08-08,30.25
18,CUST_003,2023-08-11,110.80
19,CUST_007,2023-08-13,150.00
20,CUST_010,2023-08-15,90.75
21,CUST_001,2023-08-18,75.50
22,CUST_006,2023-08-21,50.25
23,CUST_008,9999-12-31,400.60
24,CUST_002,2023-08-27,80.75
25,CUST_004,2023-08-30,25.30
26,CUST_007,2023-09-02,75.00
27,,2023-09-05,300.25
28,CUST_003,2023-09-08,60.80
29,CUST_009,2023-09-11,90.00
30,CUST_010,2023-09-14,45.75
31,CUST_001,2023-09-17,130.50
32,CUST_006,2023-09-20,40.25
33,CUST_008,2023-09-23,150.60
34,CUST_002,2023-09-26,75.75
35,CUST_004,2023-09-29,90.30
36,CUST_005,2023-10-02,125.00
37,CUST_009,2023-10-05,70.25
38,CUST_003,2023-10-08,200.80
38,CUST_003,2023-10-08,200.80
39,CUST_010,2023-10-11,60.00
40,CUST_001,2023-10-14,30.75
41,CUST_008,2023-10-17,95.50
42,CUST_006,2023-10-20,75.25
43,CUST_002,2023-10-23,85.60
44,CUST_005,2023-10-26,150.00
45,CUST_003,2023-10-29,120.75
46,CUST_007,2023-11-01,50.30
47,CUST_001,2023-11-04,75.00
48,CUST_009,5874898-11-07,180.25
49,CUST_006,2023-11-10,220.80
50,CUST_004,2023-11-13,80.00
